time,temp
266.5,34.27464294
267,34.23174286
267.5,34.18884277
268,34.14594269
268.5,34.07086182
269,34.03868866
269.5,34.0065155
270,33.96361542
270.5,33.89926147
271,33.86708832
271.5,33.80273438
272,33.74910736
272.5,33.72766113
273,33.65258789
273.5,33.6204071
274,33.58823395
274.5,33.53460693
275,33.45953369
275.5,33.41663361
276,33.37373352
276.5,33.33083344
277,33.27720642
277.5,33.25575256
278,33.16995239
278.5,33.13777924
279,33.06270599
279.5,33.01980591
280,32.97690582
280.5,32.91255188
281,32.86965179
281.5,32.80530548
282,32.75167847
282.5,32.70877838
283,32.64442444
283.5,32.59079742
284,32.52645111
284.5,32.46209717
285,32.42992401
285.5,32.36557007
286,32.32266998
286.5,32.23686981
287,32.19396973
287.5,32.15106964
288,32.09744263
288.5,32.03309631
289,31.96874046
289.5,31.92584038
290,31.87221336
290.5,31.80786705
291,31.75424004
291.5,31.66843987
292,31.62553978
292.5,31.59336662
293,31.50756645
293.5,31.46466637
294,31.38958549
294.5,31.33595848
295,31.2823391
295.5,31.21798515
296,31.16435814
296.5,31.11073112
297,31.03565788
297.5,30.96058464
298,30.8962307
298.5,30.86405754
299,30.7997036
299.5,30.75680351
300,30.68173027
300.5,30.60665703
301,30.56375694
301.5,30.52085686
302,30.45650291
302.5,30.4028759
303,30.32780266
303.5,30.28490257
304,30.1991024
304.5,30.15620232
305,30.07040215
305.5,30.03822136
306,29.95242119
306.5,29.9095211
307,29.84517479
307.5,29.812994
308,29.72719383
308.5,29.69502068
309,29.63067436
309.5,29.56632042
310,29.50196648
310.5,29.43762016
311,29.37326622
311.5,29.31964684
312,29.27673912
312.5,29.21239281
313,29.15876579
313.5,29.08369255
314,29.03006554
314.5,28.98716545
315,28.90136528
315.5,28.86919212
316,28.79411125
316.5,28.74048424
317,28.69758415
317.5,28.63323784
318,28.59033775
318.5,28.51526451
319,28.4616375
319.5,28.44018364
320,28.37583733
320.5,28.31148338
321,28.23641014
321.5,28.18278313
322,28.12915611
322.5,28.0648098
323,28.02190971
323.5,27.9682827
324,27.93610191
324.5,27.88248253
325,27.80740166
325.5,27.76450157
326,27.70015526
326.5,27.66797447
327,27.60362816
327.5,27.56072807
328,27.50710106
328.5,27.44275475
329,27.39984703
329.5,27.33550072
330,27.2818737
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
